,vertexID,X.x,vertexCentrDegree,vertexCentrCloseness,vertexCentrEigen,vertexCentrBetweenness,vertexPageRank,vertexHub,vertexAuthority,Ranking,X.y,cluster,btw_centrality
184,"VELTRI GA, 2017","VELTRI GA, 2017",0.116104869,0.01474405,0.513110532,0.002664172,0.00583603,0.513110532,0.513110532,54,13,1,109.6399321
114,"LESSER O, 2017","LESSER O, 2017",0.112359551,0.014753827,0.456160505,0.001270676,0.005492434,0.456160505,0.456160505,63,6,1,59.12648825
167,"SOHN D, 2005","SOHN D, 2005",0.112359551,0.014748937,0.413559398,0.00756481,0.006332285,0.413559398,0.413559398,56,185,1,298.0352821
115,"LEYDESDORFF L, 2017","LEYDESDORFF L, 2017",0.018726592,0.014671942,0.037148199,0.005661727,0.002448213,0.037148199,0.037148199,140,14,19,201.8495101
179,"TREMAYNE M, 2006","TREMAYNE M, 2006",0.112359551,0.014748937,0.463644554,0.003042736,0.005711713,0.463644554,0.463644554,60,176,1,159.6981184
54,"EKSTROM M, 2014","EKSTROM M, 2014",0.056179775,0.014718042,0.102191725,0.003348868,0.003954504,0.102191725,0.102191725,114,89,2,122.1418698
129,"MONTERDE A, 2015","MONTERDE A, 2015",0.048689139,0.014717231,0.120417216,0.001024542,0.003128724,0.120417216,0.120417216,127,64,2,23.44494767
159,"SEGEV E, 2015","SEGEV E, 2015",0.071161049,0.014733473,0.21632257,0.001394406,0.004027883,0.21632257,0.21632257,97,67,6,72.05267088
199,"YANG S, 2017","YANG S, 2017",0.112359551,0.014752196,0.404735191,0.002398908,0.005681763,0.404735191,0.404735191,66,2,1,124.0352162
84,"HOWARD PN, 2002","HOWARD PN, 2002",0.108614232,0.014744864,0.320236169,0.006735641,0.006090329,0.320236169,0.320236169,68,197,1,285.0869945
164,"SHUMATE M, 2012","SHUMATE M, 2012",0.108614232,0.014741608,0.316633792,0.004400505,0.005889172,0.316633792,0.316633792,74,128,1,166.0927901
123,"MARKHAM AN, 2014","MARKHAM AN, 2014",0.048689139,0.014702643,0.104244817,0.00201759,0.003426709,0.104244817,0.104244817,124,95,8,82.8449069
124,"MATEI S, 2004","MATEI S, 2004",0.104868914,0.014741608,0.366298119,0.0024665,0.005420079,0.366298119,0.366298119,73,190,1,61.20989867
125,"MCCLOUGHAN P, 2006","MCCLOUGHAN P, 2006",0.003745318,0.003745318,0,0,0.004644682,2.37E-18,2.37E-18,203.5,175,15,0
15,"BOUNEGRU L, 2017","BOUNEGRU L, 2017",0.101123596,0.014747307,0.409765397,0.001125087,0.005035924,0.409765397,0.409765397,70,18,1,81.06948241
34,"CHON BS, 2003","CHON BS, 2003",0.097378277,0.014743236,0.339596841,0.00294757,0.005225936,0.339596841,0.339596841,78,196,1,144.8236572
194,"WILLIAMS JP, 2014","WILLIAMS JP, 2014",0.037453184,0.014677588,0.059096033,0.000333801,0.002619715,0.059096033,0.059096033,146,96,2,14.43781335
55,"ELLINGSON LL, 2003","ELLINGSON LL, 2003",0.033707865,0.01469536,0.058604679,0.000235976,0.002387812,0.058604679,0.058604679,149,194,2,14.40454528
86,"HUANG R, 2015","HUANG R, 2015",0.041198502,0.014704263,0.088821007,0.001024441,0.002923066,0.088821007,0.088821007,134,70,3,45.28931845
168,"SOHN D, 2009","SOHN D, 2009",0.097378277,0.014742422,0.372986822,0.00325518,0.005265579,0.372986822,0.372986822,71,161,1,125.0092588
172,"STEPHENS B, 2016","STEPHENS B, 2016",0.097378277,0.014749751,0.413342222,0.000544731,0.004836065,0.413342222,0.413342222,75,40,1,39.69834797
192,"WEEKS BE, 2016","WEEKS BE, 2016",0.071161049,0.014735913,0.14207442,0.008364326,0.005133725,0.14207442,0.14207442,88,54,6,281.2466853
9,"BENTIVEGNA S, 2015","BENTIVEGNA S, 2015",0.029962547,0.014657444,0.04573833,0.001052149,0.002490782,0.04573833,0.04573833,150,59,2,37.11917179
76,"HIMELBOIM I, 2013","HIMELBOIM I, 2013",0.059925094,0.014727784,0.166035914,0.001135422,0.003585431,0.166035914,0.166035914,110,100,6,50.75753261
136,"OLOFSSON JK, 2010","OLOFSSON JK, 2010",0.007490637,0.014606926,0.009433463,9.96E-06,0.001109553,0.009433463,0.009433463,193,151,29,1.133057901
25,"CARR CT, 2015","CARR CT, 2015",0.093632959,0.014741608,0.384890262,0.001544766,0.004717814,0.384890262,0.384890262,77,76,1,28.78444229
14,"BOSCH T, 2017","BOSCH T, 2017",0.026217228,0.014652618,0.034689393,0.000425327,0.002294648,0.034689393,0.034689393,158,22,2,29.24553835
187,"WANG HJ, 2016","WANG HJ, 2016",0.08988764,0.01472616,0.455892267,0,0.004309853,0.455892267,0.455892267,72,57,1,5.532569322
132,"MURPHY P, 2010","MURPHY P, 2010",0.078651685,0.014736726,0.337049801,0.00029643,0.004067836,0.337049801,0.337049801,82,155,1,33.11812166
130,"MOON SI, 2010","MOON SI, 2010",0.041198502,0.014703453,0.130363182,0.000236623,0.002587105,0.130363182,0.130363182,131,146,3,7.511941441
142,"PARK HW, 2008-1","PARK HW, 2008-1",0.026217228,0.014680009,0.079991483,0.000103372,0.001927397,0.079991483,0.079991483,151,167,3,9.814496732
109,"LAUREN B, 2016-2","LAUREN B, 2016-2",0.06741573,0.014731034,0.273014301,0.000375905,0.003690392,0.273014301,0.273014301,92,30,1,30.79055378
139,"PAN W, 2017","PAN W, 2017",0.063670412,0.014730222,0.210964978,0.001234016,0.003584134,0.210964978,0.210964978,100,21,1,57.19826436
190,"WEBER MS, 2012","WEBER MS, 2012",0.059925094,0.014718042,0.231833657,0.000278414,0.003299909,0.231833657,0.231833657,103,130,1,7.229965673
38,"CRONA BI, 2011","CRONA BI, 2011",0.056179775,0.014710744,0.222796561,0.0002848,0.003126158,0.222796561,0.222796561,107,134,1,17.43060912
47,"DIRKSEN V, 2010","DIRKSEN V, 2010",0.056179775,0.014720476,0.215203756,0.000679757,0.003209993,0.215203756,0.215203756,106,142,1,40.00705652
107,"LAI CH, 2014","LAI CH, 2014",0.056179775,0.01472616,0.20595634,0.000472076,0.003183042,0.20595634,0.20595634,109,86,1,20.18463535
12,"BIDDIX JP, 2008","BIDDIX JP, 2008",0.071161049,0.014722911,0.226868962,0.000205953,0.003749177,0.226868962,0.226868962,99,164,7,10.96701872
150,"QUINN K, 2016","QUINN K, 2016",0.02247191,0.014657444,0.037967641,0.005652179,0.00263779,0.037967641,0.037967641,137,45,21,201.3687646
151,"REID D, 2014","REID D, 2014",0.026217228,0.014680009,0.044880044,0.000660978,0.002220097,0.044880044,0.044880044,156,82,4,22.96689856
92,"JENSEN M, 2016","JENSEN M, 2016",0.018726592,0.014661468,0.036477347,8.52E-05,0.001700462,0.036477347,0.036477347,169,56,2,8.775648871
153,"SALAH AA, 2013","SALAH AA, 2013",0.02247191,0.014664689,0.041220573,0.000164936,0.002017611,0.041220573,0.041220573,162,106,8,8.436963635
48,"DOERFEL ML, 1999","DOERFEL ML, 1999",0.052434457,0.014708313,0.214651513,0.005785526,0.003536488,0.214651513,0.214651513,93,203,1,206.166015
155,"SCHUMMER J, 2005","SCHUMMER J, 2005",0.003745318,0.014512447,0.000968827,0,0.001112899,0.000968827,0.000968827,198,186,32,0
156,"SCHWEITZER EJ, 2008","SCHWEITZER EJ, 2008",0.02247191,0.014656639,0.029907114,0.000493054,0.002082266,0.029907114,0.029907114,165,162,11,8.364722185
174,"TANEJA H, 2016","TANEJA H, 2016",0.018726592,0.014652618,0.0337018,2.63E-05,0.001619666,0.0337018,0.0337018,172,49,3,1.544168046
85,"HUANG R, 2014","HUANG R, 2014",0.052434457,0.0147221,0.133706529,0.002433807,0.003432675,0.133706529,0.133706529,115,93,1,94.22137867
202,"YUAN EJ, 2013-2","YUAN EJ, 2013-2",0.056179775,0.01471642,0.124171185,0.003614993,0.003872261,0.124171185,0.124171185,113,104,6,89.3741128
160,"SEITER JS, 1997","SEITER JS, 1997",0.003745318,0.014587772,0.010785652,0,0.000876117,0.010785652,0.010785652,197,205,36,0
206,"ZYWICA J, 2008","ZYWICA J, 2008",0.048689139,0.014710744,0.128971836,0.001217904,0.003086244,0.128971836,0.128971836,122,163,1,64.66329693
65,"GARCIA D, 2017","GARCIA D, 2017",0.052434457,0.014723723,0.130944244,0.000825882,0.003264639,0.130944244,0.130944244,119,11,6,51.67348435
147,"POSTMES T, 2000","POSTMES T, 2000",0.04494382,0.014690509,0.142891167,0.000821573,0.002913244,0.142891167,0.142891167,123,202,1,5.268854101
154,"SCHNEIDER F, 2016","SCHNEIDER F, 2016",0.04494382,0.014719665,0.112467393,0.001182987,0.002931263,0.112467393,0.112467393,130,23,1,42.00571987
165,"SINGH SK, 2008","SINGH SK, 2008",0.007490637,0.014606926,0.019346287,1.26E-05,0.001098776,0.019346287,0.019346287,190,165,31,0.604104871
166,"SMITH BG, 2017","SMITH BG, 2017",0.003745318,0.014549616,0.002325564,0,0.000961337,0.002325564,0.002325564,202,1,17,0
94,"JUNG JY, 2001","JUNG JY, 2001",0.037453184,0.014700215,0.097705908,0.000554568,0.002447989,0.097705908,0.097705908,136,198,1,3.107361229
145,"PENG TQ, 2013","PENG TQ, 2013",0.037453184,0.014703453,0.121040732,0.000311764,0.002410542,0.121040732,0.121040732,132,103,1,14.91511164
169,"SONG Y, 2012","SONG Y, 2012",0.041198502,0.014705072,0.076853497,0.001719883,0.00302306,0.076853497,0.076853497,133,119,4,49.1319688
170,"STEENVELD L, 1998","STEENVELD L, 1998",0.003745318,0.014511658,0.001064941,0,0.001063609,0.001064941,0.001064941,200,204,35,0
